_id,Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
46,20200302,S08000024,NHS Lothian,0,0,0,,0,0,0,40,216,23.67149229,50,0,0,,50,0,,:,,:,0,0
47,20200302,S08000025,NHS Orkney,0,0,0,,0,0,0,0,3,13.39285714,0,0,0,,0,0,,:,,:,0,0
48,20200302,S08000029,NHS Fife,0,0,0,,0,0,0,13,73,19.51193435,14,0,0,,14,0,,:,,:,0,0
49,20200302,S08000030,NHS Tayside,0,1,0.240067219,,0,0,0,6,92,22.08618413,19,3,15.78947368,,19,0,,:,,:,3,0
50,20200302,S08000031,NHS Greater Glasgow and Clyde,0,0,0,,0,0,0,57,214,18.05541494,80,0,0,,80,0,,:,,:,0,0
51,20200302,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,26,98,14.80451991,33,0,0,,33,0,,:,,:,0,0
52,20200302,S92000003,Scotland,1,5,0.09147457,,0,0,0,198,1040,19.02671057,264,4,1.515151515,,264,0,11,,,:,4,0
53,20200303,S08000015,NHS Ayrshire and Arran,0,1,0.271746515,,0,0,0,17,64,17.39177695,19,0,0,,19,0,,:,,:,0,0
54,20200303,S08000016,NHS Borders,0,0,0,,0,0,0,2,34,29.50364457,2,0,0,,2,0,,:,,:,0,0
55,20200303,S08000017,NHS Dumfries and Galloway,0,0,0,,0,0,0,7,47,31.69465237,10,0,0,,10,0,,:,,:,0,0
56,20200303,S08000019,NHS Forth Valley,1,2,0.653744321,,0,0,0,15,99,32.36034387,24,1,4.166666667,,24,0,,:,,:,1,0
57,20200303,S08000020,NHS Grampian,1,3,0.512338827,,0,0,0,10,116,19.81043463,15,1,6.666666667,,15,0,,:,,:,1,0
58,20200303,S08000022,NHS Highland,0,0,0,,0,0,0,8,43,13.40148351,10,0,0,,10,0,,:,,:,0,0
59,20200303,S08000024,NHS Lothian,0,0,0,,0,0,0,45,261,28.60305318,48,0,0,,48,0,,:,,:,0,0
60,20200303,S08000025,NHS Orkney,0,0,0,,0,0,0,1,4,17.85714286,1,0,0,,1,0,,:,,:,0,0
61,20200303,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,1,3.773584906,1,0,0,,1,0,,:,,:,0,0
62,20200303,S08000029,NHS Fife,0,0,0,,0,0,0,11,84,22.45208885,13,0,0,,13,0,,:,,:,0,0
63,20200303,S08000030,NHS Tayside,0,1,0.240067219,,0,0,0,19,111,26.64746129,37,2,5.405405405,,37,0,,:,,:,2,0
64,20200303,S08000031,NHS Greater Glasgow and Clyde,1,1,0.084371098,,0,0,0,53,267,22.52708312,72,2,2.777777778,,72,0,,:,,:,2,0
65,20200303,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,26,124,18.73224968,35,0,0,,35,0,,:,,:,0,0
66,20200303,S92000003,Scotland,3,8,0.146359312,,0,0,0,215,1255,22.96011709,287,6,2.090592334,,287,0,13,,,:,6,0
67,20200304,S08000015,NHS Ayrshire and Arran,0,1,0.271746515,,0,0,0,10,74,20.1092421,15,1,6.666666667,,15,0,,:,,:,1,0
68,20200304,S08000016,NHS Borders,0,0,0,,0,0,0,3,37,32.10690732,3,0,0,,3,0,,:,,:,0,0
69,20200304,S08000017,NHS Dumfries and Galloway,0,0,0,,0,0,0,9,56,37.76384112,11,0,0,,11,0,,:,,:,0,0
70,20200304,S08000019,NHS Forth Valley,1,3,0.980616481,,0,0,0,18,117,38.24404275,33,4,12.12121212,,33,0,,:,,:,4,0
71,20200304,S08000020,NHS Grampian,2,5,0.853898045,,0,0,0,5,121,20.66433268,7,2,28.57142857,,7,0,,:,,:,2,0
72,20200304,S08000022,NHS Highland,0,0,0,,0,0,0,8,51,15.89478277,8,0,0,,8,0,,:,,:,0,0
73,20200304,S08000024,NHS Lothian,1,1,0.109590242,,0,0,0,27,288,31.56198972,33,1,3.03030303,,33,0,,:,,:,1,0
74,20200304,S08000025,NHS Orkney,0,0,0,,0,0,0,0,4,17.85714286,0,0,0,,0,0,,:,,:,0,0
75,20200304,S08000026,NHS Shetland,0,0,0,,0,0,0,1,1,4.372540446,1,0,0,,1,0,,:,,:,0,0
76,20200304,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,2,7.547169811,1,0,0,,1,0,,:,,:,0,0
77,20200304,S08000029,NHS Fife,2,2,0.534573544,,0,0,0,1,85,22.71937562,3,2,66.66666667,,3,0,,:,,:,2,0
78,20200304,S08000030,NHS Tayside,0,1,0.240067219,,0,0,0,10,121,29.04813348,22,0,0,,22,0,,:,,:,0,0
79,20200304,S08000031,NHS Greater Glasgow and Clyde,0,1,0.084371098,,0,0,0,66,333,28.09557558,92,0,0,,92,0,,:,,:,0,0
80,20200304,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,19,143,21.60251375,26,0,0,,26,0,,:,,:,0,0
81,20200304,S92000003,Scotland,6,14,0.256128796,,0,0,0,178,1433,26.21661178,255,10,3.921568627,,255,0,10,,,:,10,0
82,20200305,S08000015,NHS Ayrshire and Arran,0,1,0.271746515,0.271746515,0,0,0,15,89,24.18543982,17,0,0,2.469135802,17,0,,:,,:,0,0
83,20200305,S08000016,NHS Borders,0,0,0,0,0,0,0,1,38,32.97466158,1,0,0,0,1,0,,:,,:,0,0
84,20200305,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,6,62,41.80996696,6,0,0,0,6,0,,:,,:,0,0
85,20200305,S08000019,NHS Forth Valley,0,3,0.980616481,0.980616481,0,0,0,14,131,42.820253,18,0,0,4.411764706,18,0,,:,,:,0,0
86,20200305,S08000020,NHS Grampian,0,5,0.853898045,0.683118436,0,0,0,5,126,21.51823072,15,2,13.33333333,8.219178082,15,0,,:,,:,2,0
87,20200305,S08000022,NHS Highland,0,0,0,0,0,0,0,9,60,18.69974444,11,0,0,0,11,0,,:,,:,0,0
88,20200305,S08000024,NHS Lothian,0,1,0.109590242,0.109590242,0,0,0,21,309,33.8633848,32,1,3.125,0.833333333,32,0,,:,,:,1,0
89,20200305,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,4,17.85714286,0,0,0,0,0,0,,:,,:,0,0
90,20200305,S08000026,NHS Shetland,0,0,0,,0,0,0,1,2,8.745080892,2,0,0,,2,0,,:,,:,0,0
91,20200305,S08000028,NHS Western Isles,0,0,0,,0,0,0,0,2,7.547169811,2,0,0,,2,0,,:,,:,0,0
92,20200305,S08000029,NHS Fife,0,2,0.534573544,0.534573544,0,0,0,8,93,24.85766979,9,0,0,3.333333333,9,0,,:,,:,0,0
93,20200305,S08000030,NHS Tayside,0,1,0.240067219,0.240067219,0,0,0,12,133,31.9289401,30,2,6.666666667,7.5,30,0,,:,,:,2,0
94,20200305,S08000031,NHS Greater Glasgow and Clyde,1,2,0.168742196,0.168742196,0,0,0,69,402,33.91718133,91,2,2.197802198,0.950118765,91,0,,:,,:,2,0
95,20200305,S08000032,NHS Lanarkshire,1,1,0.15106653,0.15106653,0,0,0,22,165,24.9259774,32,1,3.125,0.636942675,32,0,,:,,:,1,0
96,20200305,S92000003,Scotland,2,16,0.292718624,0.27442371,0,0,0,183,1616,29.56458105,266,8,3.007518797,2.256699577,266,0,19,,,:,8,0
97,20200306,S08000015,NHS Ayrshire and Arran,0,1,0.271746515,0.271746515,0,0,0,8,97,26.35941194,13,0,0,2.352941176,13,0,,:,,:,0,0
98,20200306,S08000016,NHS Borders,0,0,0,0,0,0,0,5,43,37.31343284,5,0,0,0,5,0,,:,,:,0,0
99,20200306,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,17,79,53.27399015,19,0,0,0,19,0,,:,,:,0,0
100,20200306,S08000019,NHS Forth Valley,0,3,0.980616481,0.980616481,0,0,0,17,148,48.37707972,38,2,5.263157895,5.194805195,38,0,,:,,:,2,0
101,20200306,S08000020,NHS Grampian,0,5,0.853898045,0.683118436,0,0,0,5,131,22.37212877,11,1,9.090909091,8.974358974,11,0,,:,,:,1,0
102,20200306,S08000022,NHS Highland,0,0,0,0,0,0,0,8,68,21.1930437,8,0,0,0,8,0,,:,,:,0,0
103,20200306,S08000024,NHS Lothian,2,3,0.328770726,0.328770726,0,0,0,27,336,36.82232134,37,3,8.108108108,2.212389381,37,0,,:,,:,3,0
104,20200306,S08000025,NHS Orkney,0,0,0,0,0,0,0,2,6,26.78571429,2,0,0,0,2,0,,:,,:,0,0
105,20200306,S08000026,NHS Shetland,2,2,8.745080892,,0,0,0,0,2,8.745080892,2,2,100,,2,0,,:,,:,2,0
106,20200306,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,3,11.32075472,2,0,0,,2,0,,:,,:,0,0
107,20200306,S08000029,NHS Fife,0,2,0.534573544,0.534573544,0,0,0,7,100,26.7286772,13,1,7.692307692,5.084745763,13,0,,:,,:,1,0
108,20200306,S08000030,NHS Tayside,0,1,0.240067219,0,0,0,0,16,149,35.7700156,41,1,2.43902439,5.22875817,41,0,,:,,:,1,0
109,20200306,S08000031,NHS Greater Glasgow and Clyde,1,3,0.253113294,0.253113294,0,0,0,73,475,40.07627147,101,1,0.99009901,1.012145749,101,0,,:,,:,1,0
110,20200306,S08000032,NHS Lanarkshire,1,2,0.302133059,0.302133059,0,0,0,22,187,28.24944105,32,1,3.125,1.117318436,32,0,,:,,:,1,0
111,20200306,S92000003,Scotland,6,22,0.402488108,0.36589828,0,0,0,208,1824,33.36992316,324,12,3.703703704,2.661596958,324,0,21,,,:,12,0
112,20200307,S08000015,NHS Ayrshire and Arran,1,2,0.54349303,0.54349303,0,0,0,8,105,28.53338406,15,1,6.666666667,3.125,15,0,,:,,:,1,0
113,20200307,S08000016,NHS Borders,0,0,0,0,0,0,0,2,45,39.04894134,2,0,0,0,2,0,,:,,:,0,0
114,20200307,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,7,86,57.99447029,7,0,0,0,7,0,,:,,:,0,0
115,20200307,S08000019,NHS Forth Valley,0,3,0.980616481,0.980616481,0,0,0,11,159,51.97267349,26,2,7.692307692,6.024096386,26,0,,:,,:,2,0
116,20200307,S08000020,NHS Grampian,1,6,1.024677653,0.853898045,0,0,0,9,140,23.90914525,14,2,14.28571429,10.34482759,14,0,,:,,:,2,0
117,20200307,S08000022,NHS Highland,0,0,0,0,0,0,0,6,74,23.06301814,6,0,0,0,6,0,,:,,:,0,0
118,20200307,S08000024,NHS Lothian,2,5,0.54795121,0.54795121,0,0,0,32,368,40.32920909,48,4,8.333333333,3.345724907,48,0,,:,,:,4,0
119,20200307,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,6,26.78571429,0,0,0,0,0,0,,:,,:,0,0
120,20200307,S08000026,NHS Shetland,0,2,8.745080892,,0,0,0,2,4,17.49016178,2,0,0,,2,0,,:,,:,0,0
121,20200307,S08000028,NHS Western Isles,0,0,0,,0,0,0,0,3,11.32075472,0,0,0,,0,0,,:,,:,0,0
122,20200307,S08000029,NHS Fife,0,2,0.534573544,0.534573544,0,0,0,4,104,27.79782429,16,1,6.25,5.714285714,16,0,,:,,:,1,0
123,20200307,S08000030,NHS Tayside,0,1,0.240067219,0,0,0,0,2,151,36.25015004,9,0,0,4.968944099,9,0,,:,,:,0,0
124,20200307,S08000031,NHS Greater Glasgow and Clyde,0,3,0.253113294,0.253113294,0,0,0,27,502,42.35429111,45,3,6.666666667,1.571709234,45,0,,:,,:,3,0
125,20200307,S08000032,NHS Lanarkshire,1,3,0.453199589,0.453199589,0,0,0,21,208,31.42183818,27,3,11.11111111,2.564102564,27,0,,:,,:,3,0
126,20200307,S92000003,Scotland,5,27,0.493962678,0.45737285,0,0,0,131,1955,35.7665569,217,16,7.373271889,3.401759531,217,0,10,,,:,16,0
127,20200308,S08000015,NHS Ayrshire and Arran,0,2,0.54349303,0.54349303,0,0,0,8,113,30.70735618,10,0,0,3.03030303,10,0,,:,,:,0,0
128,20200308,S08000016,NHS Borders,0,0,0,0,0,0,0,5,50,43.3877126,5,0,0,0,5,0,,:,,:,0,0
129,20200308,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,5,91,61.36624182,7,0,0,0,7,0,,:,,:,0,0
130,20200308,S08000019,NHS Forth Valley,0,3,0.980616481,0.653744321,0,0,0,12,171,55.89513941,28,4,14.28571429,6.914893617,28,0,,:,,:,4,0
131,20200308,S08000020,NHS Grampian,1,7,1.195457262,0.853898045,0,0,0,6,146,24.9338229,14,4,28.57142857,12.76595745,14,0,,:,,:,4,0
132,20200308,S08000022,NHS Highland,0,0,0,0,0,0,0,7,81,25.24465499,7,0,0,0,7,0,,:,,:,0,0
133,20200308,S08000024,NHS Lothian,2,7,0.767131695,0.767131695,0,0,0,21,389,42.63060417,31,2,6.451612903,3.94265233,31,0,,:,,:,2,0
134,20200308,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,6,26.78571429,0,0,0,0,0,0,,:,,:,0,0
135,20200308,S08000026,NHS Shetland,0,2,8.745080892,,0,0,0,1,5,21.86270223,1,0,0,,1,0,,:,,:,0,0
136,20200308,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,4,15.09433962,1,0,0,,1,0,,:,,:,0,0
137,20200308,S08000029,NHS Fife,0,2,0.534573544,0.534573544,0,0,0,2,106,28.33239783,7,0,0,5.333333333,7,0,,:,,:,0,0
138,20200308,S08000030,NHS Tayside,0,1,0.240067219,0,0,0,0,0,151,36.25015004,1,0,0,5.031446541,1,0,,:,,:,0,0
139,20200308,S08000031,NHS Greater Glasgow and Clyde,0,3,0.253113294,0.253113294,0,0,0,38,540,45.56039283,56,3,5.357142857,2.048417132,56,0,,:,,:,3,0
140,20200308,S08000032,NHS Lanarkshire,0,3,0.453199589,0.453199589,0,0,0,9,217,32.78143694,24,4,16.66666667,4.306220096,24,0,,:,,:,4,0
141,20200308,S92000003,Scotland,3,30,0.54884742,0.475667764,0,0,0,115,2070,37.87047201,192,17,8.854166667,4.04432133,192,0,11,,,:,17,0
142,20200309,S08000015,NHS Ayrshire and Arran,1,3,0.815239545,0.54349303,0,0,0,22,135,36.6857795,24,1,4.166666667,2.654867257,24,0,,:,,:,1,0
143,20200309,S08000016,NHS Borders,1,1,0.867754252,0.867754252,0,0,0,12,62,53.80076362,15,1,6.666666667,3.03030303,15,0,,:,,:,1,0
144,20200309,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,16,107,72.15591072,22,0,0,0,22,0,,:,,:,0,0
145,20200309,S08000019,NHS Forth Valley,0,3,0.980616481,0.653744321,0,0,0,14,185,60.47134966,24,3,12.5,8.376963351,24,0,,:,,:,3,0
146,20200309,S08000020,NHS Grampian,0,7,1.195457262,0.853898045,0,0,0,10,156,26.64161899,18,1,5.555555556,13.82978723,18,0,,:,,:,1,0
