Health Area,Site Name,Date,Population Band,Population,Result Description - N1 Gene,Reported Value - N1 Gene (gc/l),Days Since Sampled
Ayrshire and Arran,Cumnock,19/02/2021,10k - 100k,13690,Positive,85619,220 days
Ayrshire and Arran,Cumnock,23/02/2021,10k - 100k,13690,Positive,75691,216 days
Ayrshire and Arran,Cumnock,01/03/2021,10k - 100k,13690,Positive,42624,210 days
Ayrshire and Arran,Cumnock,08/03/2021,10k - 100k,13690,Positive,12469,203 days
Ayrshire and Arran,Cumnock,15/03/2021,10k - 100k,13690,Positive,13536,196 days
Ayrshire and Arran,Cumnock,22/03/2021,10k - 100k,13690,Positive,30014,189 days
Ayrshire and Arran,Cumnock,30/03/2021,10k - 100k,13690,Positive (DNQ),9513,181 days
Ayrshire and Arran,Cumnock,06/04/2021,10k - 100k,13690,Positive (DNQ),7509,174 days
Ayrshire and Arran,Cumnock,12/04/2021,10k - 100k,13690,Positive (DNQ),2990,168 days
Ayrshire and Arran,Cumnock,28/04/2021,10k - 100k,13690,Weak Positive,658,152 days
Ayrshire and Arran,Cumnock,07/05/2021,10k - 100k,13690,Weak Positive,658,143 days
Ayrshire and Arran,Cumnock,10/05/2021,10k - 100k,13690,Positive (DNQ),1580,140 days
Ayrshire and Arran,Cumnock,19/05/2021,10k - 100k,13690,Negative,0,131 days
Ayrshire and Arran,Cumnock,26/05/2021,10k - 100k,13690,Weak Positive,658,124 days
Ayrshire and Arran,Cumnock,02/06/2021,10k - 100k,13690,Positive,43795,117 days
Ayrshire and Arran,Cumnock,09/06/2021,10k - 100k,13690,Positive,24305,110 days
Ayrshire and Arran,Cumnock,16/06/2021,10k - 100k,13690,Positive,17045,103 days
Ayrshire and Arran,Cumnock,22/06/2021,10k - 100k,13690,Positive,22342,97 days
Ayrshire and Arran,Cumnock,29/06/2021,10k - 100k,13690,Positive,145126,90 days
Ayrshire and Arran,Cumnock,06/07/2021,10k - 100k,13690,Positive,440416,83 days
Ayrshire and Arran,Cumnock,13/07/2021,10k - 100k,13690,Positive,107928,76 days
Ayrshire and Arran,Cumnock,20/07/2021,10k - 100k,13690,Positive,75879,69 days
Ayrshire and Arran,Cumnock,26/07/2021,10k - 100k,13690,Positive,161821,63 days
Ayrshire and Arran,Cumnock,30/08/2021,10k - 100k,13690,Positive,254939,28 days
Ayrshire and Arran,Cumnock,06/09/2021,10k - 100k,13690,Positive,143341,21 days
Ayrshire and Arran,Cumnock,15/09/2021,10k - 100k,13690,Positive,446588,12 days
Ayrshire and Arran,Fairlie,18/02/2021,0 - 2k,1535,Positive,21820,221 days
Ayrshire and Arran,Fairlie,24/02/2021,0 - 2k,1535,Positive (DNQ),5231,215 days
Ayrshire and Arran,Fairlie,25/02/2021,0 - 2k,1535,Positive (DNQ),1732,214 days
Ayrshire and Arran,Fairlie,03/03/2021,0 - 2k,1535,Weak Positive,658,208 days
Ayrshire and Arran,Fairlie,04/03/2021,0 - 2k,1535,Weak Positive,658,207 days
Ayrshire and Arran,Fairlie,09/03/2021,0 - 2k,1535,Positive (DNQ),6807,202 days
Ayrshire and Arran,Fairlie,10/03/2021,0 - 2k,1535,Positive (DNQ),7457,201 days
Ayrshire and Arran,Fairlie,16/03/2021,0 - 2k,1535,Positive (DNQ),1807,195 days
Ayrshire and Arran,Fairlie,17/03/2021,0 - 2k,1535,Weak Positive,658,194 days
Ayrshire and Arran,Fairlie,25/03/2021,0 - 2k,1535,Negative,0,186 days
Ayrshire and Arran,Fairlie,26/03/2021,0 - 2k,1535,Negative,0,185 days
Ayrshire and Arran,Fairlie,31/03/2021,0 - 2k,1535,Weak Positive,658,180 days
Ayrshire and Arran,Fairlie,01/04/2021,0 - 2k,1535,Negative,0,179 days
Ayrshire and Arran,Fairlie,09/04/2021,0 - 2k,1535,Negative,0,171 days
Ayrshire and Arran,Fairlie,14/04/2021,0 - 2k,1535,Negative,0,166 days
Ayrshire and Arran,Fairlie,15/04/2021,0 - 2k,1535,Negative,0,165 days
Ayrshire and Arran,Fairlie,27/04/2021,0 - 2k,1535,Negative,0,153 days
Ayrshire and Arran,Fairlie,28/04/2021,0 - 2k,1535,Weak Positive,658,152 days
Ayrshire and Arran,Fairlie,06/05/2021,0 - 2k,1535,Positive (DNQ),6061,144 days
Ayrshire and Arran,Fairlie,07/05/2021,0 - 2k,1535,Weak Positive,658,143 days
Ayrshire and Arran,Fairlie,12/05/2021,0 - 2k,1535,Negative,0,138 days
Ayrshire and Arran,Fairlie,14/05/2021,0 - 2k,1535,Negative,0,136 days
Ayrshire and Arran,Fairlie,18/05/2021,0 - 2k,1535,Negative,0,132 days
Ayrshire and Arran,Fairlie,19/05/2021,0 - 2k,1535,Negative,0,131 days
Ayrshire and Arran,Fairlie,25/05/2021,0 - 2k,1535,Negative,0,125 days
Ayrshire and Arran,Fairlie,26/05/2021,0 - 2k,1535,Weak Positive,658,124 days
Ayrshire and Arran,Fairlie,03/06/2021,0 - 2k,1535,Weak Positive,658,116 days
Ayrshire and Arran,Fairlie,04/06/2021,0 - 2k,1535,Negative,0,115 days
Ayrshire and Arran,Fairlie,09/06/2021,0 - 2k,1535,Weak Positive,658,110 days
Ayrshire and Arran,Fairlie,10/06/2021,0 - 2k,1535,Positive (DNQ),1344,109 days
Ayrshire and Arran,Fairlie,15/06/2021,0 - 2k,1535,Weak Positive,658,104 days
Ayrshire and Arran,Fairlie,16/06/2021,0 - 2k,1535,Negative,0,103 days
Ayrshire and Arran,Fairlie,23/06/2021,0 - 2k,1535,Weak Positive,658,96 days
Ayrshire and Arran,Fairlie,24/06/2021,0 - 2k,1535,Positive (DNQ),1881,95 days
Ayrshire and Arran,Fairlie,29/06/2021,0 - 2k,1535,Positive (DNQ),3104,90 days
Ayrshire and Arran,Fairlie,07/07/2021,0 - 2k,1535,Weak Positive,658,82 days
Ayrshire and Arran,Fairlie,08/07/2021,0 - 2k,1535,Weak Positive,658,81 days
Ayrshire and Arran,Fairlie,13/07/2021,0 - 2k,1535,Weak Positive,658,76 days
Ayrshire and Arran,Fairlie,21/07/2021,0 - 2k,1535,Positive,10356,68 days
Ayrshire and Arran,Fairlie,28/07/2021,0 - 2k,1535,Weak Positive,658,61 days
Ayrshire and Arran,Fairlie,29/07/2021,0 - 2k,1535,Negative,0,60 days
Ayrshire and Arran,Fairlie,03/08/2021,0 - 2k,1535,Positive (DNQ),8714,55 days
Ayrshire and Arran,Fairlie,04/08/2021,0 - 2k,1535,Weak Positive,658,54 days
Ayrshire and Arran,Fairlie,10/08/2021,0 - 2k,1535,Negative,0,48 days
Ayrshire and Arran,Fairlie,11/08/2021,0 - 2k,1535,Negative,0,47 days
Ayrshire and Arran,Fairlie,18/08/2021,0 - 2k,1535,Weak Positive,658,40 days
Ayrshire and Arran,Fairlie,19/08/2021,0 - 2k,1535,Weak Positive,658,39 days
Ayrshire and Arran,Fairlie,25/08/2021,0 - 2k,1535,Positive (DNQ),7122,33 days
Ayrshire and Arran,Fairlie,26/08/2021,0 - 2k,1535,Positive,17144,32 days
Ayrshire and Arran,Fairlie,01/09/2021,0 - 2k,1535,Weak Positive,658,26 days
Ayrshire and Arran,Fairlie,02/09/2021,0 - 2k,1535,Positive,26857,25 days
Ayrshire and Arran,Fairlie,08/09/2021,0 - 2k,1535,Positive (DNQ),7741,19 days
Ayrshire and Arran,Fairlie,09/09/2021,0 - 2k,1535,Positive,30987,18 days
Ayrshire and Arran,Fairlie,16/09/2021,0 - 2k,1535,Positive,84398,11 days
Ayrshire and Arran,Girvan,19/02/2021,4k - 10k,7721,Positive (DNQ),2898,220 days
Ayrshire and Arran,Girvan,23/02/2021,4k - 10k,7721,Positive (DNQ),1382,216 days
Ayrshire and Arran,Girvan,01/03/2021,4k - 10k,7721,Negative,0,210 days
Ayrshire and Arran,Girvan,08/03/2021,4k - 10k,7721,Positive (DNQ),2198,203 days
Ayrshire and Arran,Girvan,15/03/2021,4k - 10k,7721,Weak Positive,658,196 days
Ayrshire and Arran,Girvan,22/03/2021,4k - 10k,7721,Negative,0,189 days
Ayrshire and Arran,Girvan,30/03/2021,4k - 10k,7721,Weak Positive,658,181 days
Ayrshire and Arran,Girvan,06/04/2021,4k - 10k,7721,Positive (DNQ),4837,174 days
Ayrshire and Arran,Girvan,12/04/2021,4k - 10k,7721,Positive (DNQ),3558,168 days
Ayrshire and Arran,Girvan,28/04/2021,4k - 10k,7721,Positive (DNQ),3038,152 days
Ayrshire and Arran,Girvan,07/05/2021,4k - 10k,7721,Negative,0,143 days
Ayrshire and Arran,Girvan,19/05/2021,4k - 10k,7721,Negative,0,131 days
Ayrshire and Arran,Girvan,26/05/2021,4k - 10k,7721,Negative,0,124 days
Ayrshire and Arran,Girvan,02/06/2021,4k - 10k,7721,Positive (DNQ),2260,117 days
Ayrshire and Arran,Girvan,09/06/2021,4k - 10k,7721,Positive (DNQ),3816,110 days
Ayrshire and Arran,Girvan,16/06/2021,4k - 10k,7721,Positive (DNQ),8416,103 days
Ayrshire and Arran,Girvan,22/06/2021,4k - 10k,7721,Positive (DNQ),2479,97 days
Ayrshire and Arran,Girvan,30/06/2021,4k - 10k,7721,Positive,45339,89 days
Ayrshire and Arran,Girvan,20/07/2021,4k - 10k,7721,Positive,130917,69 days
Ayrshire and Arran,Girvan,27/07/2021,4k - 10k,7721,Positive,111651,62 days
Ayrshire and Arran,Girvan,16/08/2021,4k - 10k,7721,Negative,0,42 days
Ayrshire and Arran,Girvan,08/09/2021,4k - 10k,7721,Positive,367663,19 days
Ayrshire and Arran,Girvan,13/09/2021,4k - 10k,7721,Positive,339667,14 days
Ayrshire and Arran,Girvan,20/09/2021,4k - 10k,7721,Positive,58743,7 days
Ayrshire and Arran,Largs,10/02/2021,10k - 100k,12865,Positive,13318,229 days
Ayrshire and Arran,Largs,12/02/2021,10k - 100k,12865,Positive,24468,227 days
Ayrshire and Arran,Largs,17/02/2021,10k - 100k,12865,Positive,20330,222 days
Ayrshire and Arran,Largs,18/02/2021,10k - 100k,12865,Positive,30948,221 days
Ayrshire and Arran,Largs,23/02/2021,10k - 100k,12865,Positive (DNQ),5934,216 days
Ayrshire and Arran,Largs,24/02/2021,10k - 100k,12865,Positive (DNQ),6138,215 days
Ayrshire and Arran,Largs,02/03/2021,10k - 100k,12865,Positive,33858,209 days
Ayrshire and Arran,Largs,03/03/2021,10k - 100k,12865,Positive,35076,208 days
Ayrshire and Arran,Largs,08/03/2021,10k - 100k,12865,Positive,29930,203 days
Ayrshire and Arran,Largs,09/03/2021,10k - 100k,12865,Positive,17573,202 days
Ayrshire and Arran,Largs,17/03/2021,10k - 100k,12865,Weak Positive,658,194 days
Ayrshire and Arran,Largs,31/03/2021,10k - 100k,12865,Positive (DNQ),1809,180 days
Ayrshire and Arran,Largs,07/04/2021,10k - 100k,12865,Positive,18124,173 days
Ayrshire and Arran,Largs,08/04/2021,10k - 100k,12865,Positive,39397,172 days
Ayrshire and Arran,Largs,14/04/2021,10k - 100k,12865,Positive,22214,166 days
Ayrshire and Arran,Largs,27/04/2021,10k - 100k,12865,Positive (DNQ),1832,153 days
Ayrshire and Arran,Largs,28/04/2021,10k - 100k,12865,Positive (DNQ),1831,152 days
Ayrshire and Arran,Largs,06/05/2021,10k - 100k,12865,Weak Positive,658,144 days
Ayrshire and Arran,Largs,07/05/2021,10k - 100k,12865,Positive (DNQ),1649,143 days
Ayrshire and Arran,Largs,13/05/2021,10k - 100k,12865,Weak Positive,658,137 days
Ayrshire and Arran,Largs,14/05/2021,10k - 100k,12865,Weak Positive,658,136 days
Ayrshire and Arran,Largs,17/05/2021,10k - 100k,12865,Negative,0,133 days
Ayrshire and Arran,Largs,18/05/2021,10k - 100k,12865,Negative,0,132 days
Ayrshire and Arran,Largs,24/05/2021,10k - 100k,12865,Negative,0,126 days
Ayrshire and Arran,Largs,25/05/2021,10k - 100k,12865,Negative,0,125 days
Ayrshire and Arran,Largs,02/06/2021,10k - 100k,12865,Weak Positive,658,117 days
Ayrshire and Arran,Largs,03/06/2021,10k - 100k,12865,Negative,0,116 days
Ayrshire and Arran,Largs,08/06/2021,10k - 100k,12865,Negative,0,111 days
Ayrshire and Arran,Largs,09/06/2021,10k - 100k,12865,Negative,0,110 days
Ayrshire and Arran,Largs,14/06/2021,10k - 100k,12865,Positive,17615,105 days
Ayrshire and Arran,Largs,15/06/2021,10k - 100k,12865,Positive (DNQ),5678,104 days
Ayrshire and Arran,Largs,22/06/2021,10k - 100k,12865,Positive (DNQ),5915,97 days
Ayrshire and Arran,Largs,23/06/2021,10k - 100k,12865,Positive,35466,96 days
Ayrshire and Arran,Largs,28/06/2021,10k - 100k,12865,Positive,25402,91 days
Ayrshire and Arran,Largs,29/06/2021,10k - 100k,12865,Positive,42228,90 days
Ayrshire and Arran,Largs,06/07/2021,10k - 100k,12865,Positive,13538,83 days
Ayrshire and Arran,Largs,07/07/2021,10k - 100k,12865,Weak Positive,658,82 days
Ayrshire and Arran,Largs,12/07/2021,10k - 100k,12865,Positive,10009,77 days
Ayrshire and Arran,Largs,13/07/2021,10k - 100k,12865,Positive,23636,76 days
Ayrshire and Arran,Largs,20/07/2021,10k - 100k,12865,Positive,21927,69 days
Ayrshire and Arran,Largs,23/07/2021,10k - 100k,12865,Positive (DNQ),9126,66 days
Ayrshire and Arran,Largs,27/07/2021,10k - 100k,12865,Positive,18216,62 days
Ayrshire and Arran,Largs,01/09/2021,10k - 100k,12865,Positive,45450,26 days
Ayrshire and Arran,Largs,02/09/2021,10k - 100k,12865,Positive,27529,25 days
Ayrshire and Arran,Largs,07/09/2021,10k - 100k,12865,Positive,122064,20 days
Ayrshire and Arran,Largs,09/09/2021,10k - 100k,12865,Positive,83440,18 days
Ayrshire and Arran,Largs,15/09/2021,10k - 100k,12865,Positive,105307,12 days
Ayrshire and Arran,Largs,16/09/2021,10k - 100k,12865,Positive,124553,11 days
Ayrshire and Arran,Maybole,14/01/2021,4k - 10k,4484,Positive (DNQ),6537,256 days
Ayrshire and Arran,Maybole,19/01/2021,4k - 10k,4484,Positive,11248,251 days
Ayrshire and Arran,Maybole,03/02/2021,4k - 10k,4484,Positive (DNQ),2116,236 days
Ayrshire and Arran,Maybole,11/02/2021,4k - 10k,4484,Positive,20934,228 days
Ayrshire and Arran,Maybole,19/02/2021,4k - 10k,4484,Weak Positive,658,220 days
Ayrshire and Arran,Maybole,23/02/2021,4k - 10k,4484,Negative,0,216 days
Ayrshire and Arran,Maybole,01/03/2021,4k - 10k,4484,Weak Positive,658,210 days
Ayrshire and Arran,Maybole,08/03/2021,4k - 10k,4484,Negative,0,203 days
Ayrshire and Arran,Maybole,15/03/2021,4k - 10k,4484,Positive,25857,196 days
Ayrshire and Arran,Maybole,22/03/2021,4k - 10k,4484,Negative,0,189 days
Ayrshire and Arran,Maybole,30/03/2021,4k - 10k,4484,Weak Positive,658,181 days
Ayrshire and Arran,Maybole,06/04/2021,4k - 10k,4484,Negative,0,174 days
Ayrshire and Arran,Maybole,12/04/2021,4k - 10k,4484,Weak Positive,658,168 days
Ayrshire and Arran,Maybole,28/04/2021,4k - 10k,4484,Negative,0,152 days
Ayrshire and Arran,Maybole,07/05/2021,4k - 10k,4484,Negative,0,143 days
Ayrshire and Arran,Maybole,10/05/2021,4k - 10k,4484,Weak Positive,658,140 days
Ayrshire and Arran,Maybole,19/05/2021,4k - 10k,4484,Weak Positive,658,131 days
Ayrshire and Arran,Maybole,26/05/2021,4k - 10k,4484,Negative,0,124 days
Ayrshire and Arran,Maybole,02/06/2021,4k - 10k,4484,Negative,0,117 days
Ayrshire and Arran,Maybole,09/06/2021,4k - 10k,4484,Positive (DNQ),5454,110 days
Ayrshire and Arran,Maybole,16/06/2021,4k - 10k,4484,Positive,28477,103 days
Ayrshire and Arran,Maybole,22/06/2021,4k - 10k,4484,Positive (DNQ),4654,97 days
Ayrshire and Arran,Maybole,29/06/2021,4k - 10k,4484,Positive,85801,90 days
Ayrshire and Arran,Maybole,06/07/2021,4k - 10k,4484,Positive,46072,83 days
Ayrshire and Arran,Maybole,13/07/2021,4k - 10k,4484,Positive,46218,76 days
Ayrshire and Arran,Maybole,20/07/2021,4k - 10k,4484,Positive,10521,69 days
Ayrshire and Arran,Maybole,31/08/2021,4k - 10k,4484,Positive,411580,27 days
Ayrshire and Arran,Maybole,08/09/2021,4k - 10k,4484,Positive,386705,19 days
Ayrshire and Arran,Maybole,13/09/2021,4k - 10k,4484,Positive,564252,14 days
Ayrshire and Arran,Maybole,20/09/2021,4k - 10k,4484,Positive,108129,7 days
Ayrshire and Arran,Meadowhead,08/08/2020,100k +,190898,Negative,0,415 days
Ayrshire and Arran,Meadowhead,14/08/2020,100k +,190898,Negative,0,409 days
Ayrshire and Arran,Meadowhead,20/08/2020,100k +,190898,Negative,0,403 days
Ayrshire and Arran,Meadowhead,01/09/2020,100k +,190898,Positive (DNQ),3172,391 days
Ayrshire and Arran,Meadowhead,07/09/2020,100k +,190898,Negative,0,385 days
Ayrshire and Arran,Meadowhead,14/09/2020,100k +,190898,Weak Positive,658,378 days
Ayrshire and Arran,Meadowhead,21/09/2020,100k +,190898,Positive (DNQ),8134,371 days
Ayrshire and Arran,Meadowhead,25/09/2020,100k +,190898,Positive (DNQ),5637,367 days
Ayrshire and Arran,Meadowhead,01/10/2020,100k +,190898,Positive,24566,361 days
Ayrshire and Arran,Meadowhead,07/10/2020,100k +,190898,Positive,32713,355 days
Ayrshire and Arran,Meadowhead,13/10/2020,100k +,190898,Positive,28078,349 days
Ayrshire and Arran,Meadowhead,19/10/2020,100k +,190898,Positive,67947,343 days
Ayrshire and Arran,Meadowhead,26/10/2020,100k +,190898,Positive (DNQ),9637,336 days
Ayrshire and Arran,Meadowhead,02/11/2020,100k +,190898,Positive,25865,329 days
Ayrshire and Arran,Meadowhead,06/11/2020,100k +,190898,Positive,25602,325 days
Ayrshire and Arran,Meadowhead,12/11/2020,100k +,190898,Positive,77374,319 days
Ayrshire and Arran,Meadowhead,24/11/2020,100k +,190898,Positive,24106,307 days
Ayrshire and Arran,Meadowhead,30/11/2020,100k +,190898,Positive,77370,301 days
Ayrshire and Arran,Meadowhead,06/12/2020,100k +,190898,Positive (DNQ),3775,295 days
Ayrshire and Arran,Meadowhead,14/12/2020,100k +,190898,Positive,39395,287 days
Ayrshire and Arran,Meadowhead,16/12/2020,100k +,190898,Positive,33427,285 days
Ayrshire and Arran,Meadowhead,29/12/2020,100k +,190898,Positive,136934,272 days
Ayrshire and Arran,Meadowhead,04/01/2021,100k +,190898,Positive,93689,266 days
Ayrshire and Arran,Meadowhead,06/01/2021,100k +,190898,Positive,87302,264 days
Ayrshire and Arran,Meadowhead,08/01/2021,100k +,190898,Positive,152021,262 days
Ayrshire and Arran,Meadowhead,11/01/2021,100k +,190898,Positive,100034,259 days
Ayrshire and Arran,Meadowhead,13/01/2021,100k +,190898,Positive,104827,257 days
Ayrshire and Arran,Meadowhead,15/01/2021,100k +,190898,Positive,21267,255 days
Ayrshire and Arran,Meadowhead,18/01/2021,100k +,190898,Positive,57505,252 days
Ayrshire and Arran,Meadowhead,20/01/2021,100k +,190898,Positive (DNQ),5337,250 days
Ayrshire and Arran,Meadowhead,22/01/2021,100k +,190898,Positive,53673,248 days
Ayrshire and Arran,Meadowhead,25/01/2021,100k +,190898,Positive,69566,245 days
Ayrshire and Arran,Meadowhead,27/01/2021,100k +,190898,Positive,17699,243 days
Ayrshire and Arran,Meadowhead,29/01/2021,100k +,190898,Positive,43348,241 days
Ayrshire and Arran,Meadowhead,01/02/2021,100k +,190898,Positive,80131,238 days
Ayrshire and Arran,Meadowhead,03/02/2021,100k +,190898,Positive,29514,236 days
Ayrshire and Arran,Meadowhead,05/02/2021,100k +,190898,Positive,29878,234 days
Ayrshire and Arran,Meadowhead,08/02/2021,100k +,190898,Positive,65438,231 days
Ayrshire and Arran,Meadowhead,10/02/2021,100k +,190898,Positive,106920,229 days
Ayrshire and Arran,Meadowhead,12/02/2021,100k +,190898,Positive,149047,227 days
Ayrshire and Arran,Meadowhead,15/02/2021,100k +,190898,Positive,59258,224 days
Ayrshire and Arran,Meadowhead,17/02/2021,100k +,190898,Positive,17908,222 days
Ayrshire and Arran,Meadowhead,19/02/2021,100k +,190898,Positive,47969,220 days
Ayrshire and Arran,Meadowhead,24/02/2021,100k +,190898,Positive,11118,215 days
Ayrshire and Arran,Meadowhead,26/02/2021,100k +,190898,Positive,26211,213 days
Ayrshire and Arran,Meadowhead,01/03/2021,100k +,190898,Positive,25290,210 days
Ayrshire and Arran,Meadowhead,03/03/2021,100k +,190898,Positive,29725,208 days
Ayrshire and Arran,Meadowhead,05/03/2021,100k +,190898,Positive (DNQ),6971,206 days
Ayrshire and Arran,Meadowhead,08/03/2021,100k +,190898,Positive,28039,203 days
Ayrshire and Arran,Meadowhead,10/03/2021,100k +,190898,Positive,13883,201 days
Ayrshire and Arran,Meadowhead,12/03/2021,100k +,190898,Positive,21304,199 days
Ayrshire and Arran,Meadowhead,15/03/2021,100k +,190898,Positive (DNQ),7733,196 days
Ayrshire and Arran,Meadowhead,17/03/2021,100k +,190898,Positive,27640,194 days
Ayrshire and Arran,Meadowhead,19/03/2021,100k +,190898,Positive,11062,192 days
Ayrshire and Arran,Meadowhead,22/03/2021,100k +,190898,Positive,39682,189 days
Ayrshire and Arran,Meadowhead,24/03/2021,100k +,190898,Positive,20146,187 days
Ayrshire and Arran,Meadowhead,26/03/2021,100k +,190898,Positive,14673,185 days
Ayrshire and Arran,Meadowhead,29/03/2021,100k +,190898,Positive,13955,182 days
Ayrshire and Arran,Meadowhead,31/03/2021,100k +,190898,Positive,15012,180 days
Ayrshire and Arran,Meadowhead,02/04/2021,100k +,190898,Positive,15918,178 days
Ayrshire and Arran,Meadowhead,06/04/2021,100k +,190898,Positive,24404,174 days
Ayrshire and Arran,Meadowhead,07/04/2021,100k +,190898,Positive,15625,173 days
Ayrshire and Arran,Meadowhead,09/04/2021,100k +,190898,Positive (DNQ),8806,171 days
Ayrshire and Arran,Meadowhead,12/04/2021,100k +,190898,Positive (DNQ),5634,168 days
Ayrshire and Arran,Meadowhead,14/04/2021,100k +,190898,Positive,13639,166 days
Ayrshire and Arran,Meadowhead,23/04/2021,100k +,190898,Positive (DNQ),7999,157 days
Ayrshire and Arran,Meadowhead,28/04/2021,100k +,190898,Positive,17399,152 days
Ayrshire and Arran,Meadowhead,30/04/2021,100k +,190898,Positive (DNQ),4018,150 days
Ayrshire and Arran,Meadowhead,05/05/2021,100k +,190898,Positive (DNQ),4585,145 days
Ayrshire and Arran,Meadowhead,07/05/2021,100k +,190898,Positive (DNQ),5771,143 days
Ayrshire and Arran,Meadowhead,10/05/2021,100k +,190898,Positive,10292,140 days
Ayrshire and Arran,Meadowhead,12/05/2021,100k +,190898,Positive (DNQ),4361,138 days
Ayrshire and Arran,Meadowhead,17/05/2021,100k +,190898,Positive,11484,133 days
Ayrshire and Arran,Meadowhead,19/05/2021,100k +,190898,Positive,16459,131 days
Ayrshire and Arran,Meadowhead,21/05/2021,100k +,190898,Positive,38074,129 days
Ayrshire and Arran,Meadowhead,24/05/2021,100k +,190898,Positive,13853,126 days
Ayrshire and Arran,Meadowhead,26/05/2021,100k +,190898,Positive,19884,124 days
Ayrshire and Arran,Meadowhead,28/05/2021,100k +,190898,Positive,19629,122 days
Ayrshire and Arran,Meadowhead,31/05/2021,100k +,190898,Positive,30419,119 days
Ayrshire and Arran,Meadowhead,02/06/2021,100k +,190898,Positive,32920,117 days
Ayrshire and Arran,Meadowhead,04/06/2021,100k +,190898,Positive,44276,115 days
Ayrshire and Arran,Meadowhead,07/06/2021,100k +,190898,Positive,64184,112 days
Ayrshire and Arran,Meadowhead,09/06/2021,100k +,190898,Positive,74122,110 days
Ayrshire and Arran,Meadowhead,11/06/2021,100k +,190898,Positive,97333,108 days
Ayrshire and Arran,Meadowhead,14/06/2021,100k +,190898,Positive,27585,105 days
Ayrshire and Arran,Meadowhead,16/06/2021,100k +,190898,Positive (DNQ),8809,103 days
Ayrshire and Arran,Meadowhead,18/06/2021,100k +,190898,Positive,40805,101 days
Ayrshire and Arran,Meadowhead,21/06/2021,100k +,190898,Positive,54527,98 days
Ayrshire and Arran,Meadowhead,24/06/2021,100k +,190898,Positive,43083,95 days
Ayrshire and Arran,Meadowhead,25/06/2021,100k +,190898,Positive,103714,94 days
Ayrshire and Arran,Meadowhead,28/06/2021,100k +,190898,Positive,54178,91 days
Ayrshire and Arran,Meadowhead,07/07/2021,100k +,190898,Positive,63069,82 days
Ayrshire and Arran,Meadowhead,09/07/2021,100k +,190898,Positive,86269,80 days
Ayrshire and Arran,Meadowhead,12/07/2021,100k +,190898,Positive,54885,77 days
Ayrshire and Arran,Meadowhead,16/07/2021,100k +,190898,Positive,103494,73 days
Ayrshire and Arran,Meadowhead,19/07/2021,100k +,190898,Positive,72080,70 days
Ayrshire and Arran,Meadowhead,21/07/2021,100k +,190898,Positive,116706,68 days
Ayrshire and Arran,Meadowhead,23/07/2021,100k +,190898,Positive,112242,66 days
Ayrshire and Arran,Meadowhead,26/07/2021,100k +,190898,Positive,116969,63 days
Ayrshire and Arran,Meadowhead,28/07/2021,100k +,190898,Positive,62733,61 days
Ayrshire and Arran,Meadowhead,30/07/2021,100k +,190898,Positive,59955,59 days
Ayrshire and Arran,Meadowhead,02/08/2021,100k +,190898,Positive,92034,56 days
Ayrshire and Arran,Meadowhead,04/08/2021,100k +,190898,Positive,28935,54 days
Ayrshire and Arran,Meadowhead,06/08/2021,100k +,190898,Positive,76508,52 days
Ayrshire and Arran,Meadowhead,09/08/2021,100k +,190898,Positive,26286,49 days
Ayrshire and Arran,Meadowhead,11/08/2021,100k +,190898,Positive,35611,47 days
Ayrshire and Arran,Meadowhead,13/08/2021,100k +,190898,Positive,116202,45 days
Ayrshire and Arran,Meadowhead,16/08/2021,100k +,190898,Positive,208546,42 days
Ayrshire and Arran,Meadowhead,18/08/2021,100k +,190898,Positive,117571,40 days
Ayrshire and Arran,Meadowhead,20/08/2021,100k +,190898,Positive,291982,38 days
Ayrshire and Arran,Meadowhead,23/08/2021,100k +,190898,Positive,178647,35 days
Ayrshire and Arran,Meadowhead,26/08/2021,100k +,190898,Positive,67322,32 days
Ayrshire and Arran,Meadowhead,27/08/2021,100k +,190898,Positive,521954,31 days
Ayrshire and Arran,Meadowhead,30/08/2021,100k +,190898,Positive,981123,28 days
Ayrshire and Arran,Meadowhead,01/09/2021,100k +,190898,Positive,464705,26 days
Ayrshire and Arran,Meadowhead,03/09/2021,100k +,190898,Positive,770953,24 days
Ayrshire and Arran,Meadowhead,08/09/2021,100k +,190898,Positive,452019,19 days
Ayrshire and Arran,Meadowhead,10/09/2021,100k +,190898,Positive,366462,17 days
Ayrshire and Arran,Meadowhead,13/09/2021,100k +,190898,Positive,1096830,14 days
Ayrshire and Arran,Meadowhead,17/09/2021,100k +,190898,Positive,112508,10 days
Ayrshire and Arran,Muirkirk,10/02/2021,0 - 2k,1604,Positive,49532,229 days
Ayrshire and Arran,Muirkirk,11/02/2021,0 - 2k,1604,Positive,10106,228 days
Ayrshire and Arran,Muirkirk,17/02/2021,0 - 2k,1604,Positive (DNQ),3649,222 days
Ayrshire and Arran,Muirkirk,19/02/2021,0 - 2k,1604,Weak Positive,658,220 days
Ayrshire and Arran,Muirkirk,23/02/2021,0 - 2k,1604,Positive (DNQ),4968,216 days
Ayrshire and Arran,Muirkirk,24/02/2021,0 - 2k,1604,Weak Positive,658,215 days
Ayrshire and Arran,Muirkirk,02/03/2021,0 - 2k,1604,Positive (DNQ),3741,209 days
Ayrshire and Arran,Muirkirk,03/03/2021,0 - 2k,1604,Positive,11361,208 days
